ASN,Country,Name,Type,IP Info,Resolution Source
199524,Luxembourg,G-Core Labs S.A.,Hosting,https://ipinfo.io/AS199524,
61317,United States,Hivelocity LLC,Hosting,https://ipinfo.io/AS61317,
26548,United States,PureVoltage Hosting Inc.,Hosting,https://ipinfo.io/AS26548,
212238,United Kingdom,Datacamp Limited,Hosting,https://ipinfo.io/AS212238,
13213,United Kingdom,UK-2 Limited,Hosting,https://ipinfo.io/AS13213,
5713,South Africa,Telkom SA Ltd.,ISP,https://ipinfo.io/AS5713,
32489,Canada,Amanah Tech Inc.,Hosting,https://ipinfo.io/AS32489,
852,Canada,TELUS Communications Inc.,ISP,https://ipinfo.io/AS852,
9009,Romania,M247 Europe SRL,Hosting,https://ipinfo.io/AS9009,
198605,Czechia,Gen Digital dba as Avast,Hosting,https://ipinfo.io/AS198605,
133480,Australia,5G NETWORK OPERATIONS PTY LTD,Hosting,https://ipinfo.io/AS133480,
1101,Netherlands,SURF B.V.,Business,https://ipinfo.io/AS1101,https://ipapi.is/asn/1101.html | https://ipinfo.io/AS1101
64249,United States,Charles River Operation,Hosting,https://ipinfo.io/AS64249,https://www.ipqualityscore.com/asn-details/AS64249/charles-river-operation | https://ipinfo.io/AS64249/154.39.2.0/24
138915,Hong Kong,Kaopu Cloud HK Limited,Hosting,https://ipinfo.io/AS138915,https://ipinfo.io/AS138915
44477,Moldova,PQ HOSTING PLUS S.R.L.,Hosting,https://ipinfo.io/AS44477,https://ipinfo.io/AS44477 | https://2ip.io/as/44477/
396356,United States,Latitude.sh,Hosting,https://ipinfo.io/AS396356,https://ipinfo.io/AS396356
34989,Norway,ServeTheWorld AS,Hosting,https://ipinfo.io/AS34989,https://ipinfo.io/AS34989
60068,United Kingdom,Datacamp Limited,Hosting,https://ipinfo.io/AS60068,
51430,Netherlands,AltusHost B.V.,Hosting,https://ipinfo.io/AS51430,https://ipinfo.io/AS51430
202422,Luxembourg,G-Core Labs S.A.,Hosting,https://ipinfo.io/AS202422,https://ipinfo.io/AS202422
46475,United States,"Limestone Networks, Inc.",Hosting,https://ipinfo.io/AS46475,
201011,Germany,Core-Backbone GmbH,Hosting,https://ipinfo.io/AS201011,https://ipinfo.io/AS201011
137409,Australia,GSL Networks Pty LTD,Hosting,https://ipinfo.io/AS137409,https://ipinfo.io/AS137409
63949,Singapore,Akamai Connected Cloud,Hosting,https://ipinfo.io/AS63949,https://ipinfo.io/AS63949
63023,United States,GTHost,Hosting,https://ipinfo.io/AS63023,
36935,Egypt,Vodafone Data,ISP,https://ipinfo.io/AS36935,https://ipinfo.io/AS36935
8452,Egypt,Telecom Egypt,ISP,https://ipinfo.io/AS8452,https://ipinfo.io/AS8452 | https://www.peeringdb.com/asn/8452
21859,United States,Zenlayer Inc,Hosting,https://ipinfo.io/AS21859,https://ipinfo.io/AS21859
40021,United States,Contabo Inc.,Hosting,https://ipinfo.io/AS40021,https://ipinfo.io/AS40021
268581,Brazil,QNAX LTDA,Hosting,https://ipinfo.io/AS268581,https://ipinfo.io/AS268581
150949,Indonesia,PT RumahNET Internusa,Hosting,https://ipinfo.io/AS150949,https://ipinfo.io/AS150949
200698,Bosnia and Herzegovina,Globalhost d.o.o.,Hosting,https://ipinfo.io/AS200698,https://ipinfo.io/AS200698
56704,Iceland,Farice ehf.,Hosting,https://ipinfo.io/AS56704,https://ipinfo.io/AS56704
21100,United States,GREEN FLOID LLC,Business,https://ipinfo.io/AS21100,https://ipinfo.io/AS21100
58065,United Kingdom,Orion Network Limited,Hosting,https://ipinfo.io/AS58065,https://ipinfo.io/AS58065 | https://ipgeolocation.io/browse/asn/AS58065
329184,South Africa,Host Africa (Pty) Ltd,Hosting,https://ipinfo.io/AS329184,https://ipinfo.io/AS329184
53363,Canada,TANGRAM CANADA INC.,Hosting,https://ipinfo.io/AS53363,https://ipinfo.io/AS53363
40676,United States,Psychz Networks,Hosting,https://ipinfo.io/AS40676,https://ipinfo.io/AS40676
37069,Egypt,The Egyptian Company for Mobile Services (Mobinil),ISP,https://ipinfo.io/AS37069,https://ipinfo.io/AS37069
136557,Australia,Host Universal Pty Ltd,Hosting,https://ipinfo.io/AS136557,https://ipinfo.io/AS136557
197706,Albania,Keminet SHPK,Hosting,https://ipinfo.io/AS197706,https://ipinfo.io/AS197706
209181,United Kingdom,Zenex 5ive Limited,Hosting,https://ipinfo.io/AS209181,https://ipinfo.io/AS209181
14618,United States,"Amazon.com, Inc.",Hosting,https://ipinfo.io/AS14618,
49981,Netherlands,WorldStream,Hosting,https://ipinfo.io/AS49981,
1257,EU,Tele2 Sverige AB,ISP,https://ipinfo.io/AS1257,
62563,Canada,GLOBALTELEHOST Corp.,Hosting,https://ipinfo.io/AS62563,
12876,France,SCALEWAY S.A.S.,Hosting,https://ipinfo.io/AS12876,
215540,United Kingdom,GLOBAL CONNECTIVITY SOLUTIONS LLP,Hosting,https://ipinfo.io/AS215540,
204957,United States,GREEN FLOID LLC,Hosting,https://ipinfo.io/AS204957,
138195,South Korea,MOACK.Co.LTD,Hosting,https://ipinfo.io/AS138195,
33993,Russia,UFO Hosting LLC,Hosting,https://ipinfo.io/AS33993,
29066,Germany,velia.net Internetdienste GmbH,Hosting,https://ipinfo.io/AS29066,
202759,Estonia,RJ Network OU,Hosting,https://ipinfo.io/AS202759,
53667,United States,FranTech Solutions,Hosting,https://ipinfo.io/AS53667,
396507,United States,Emerald Onion,Hosting,https://ipinfo.io/AS396507,
37153,South Africa,Xneelo (Pty) Ltd,Hosting,https://ipinfo.io/AS37153,
20860,United Kingdom,IOMART CLOUD SERVICES LIMITED,Hosting,https://ipinfo.io/AS20860,
42473,Ausria,ANEXIA Internetdienstleistungs GmbH,Hosting,https://ipinfo.io/AS42473,
37518,Seychelles,Fiber Grid INC,Hosting,https://ipinfo.io/AS37518,
199218,Switzerland,Proton AG,Hosting,https://ipinfo.io/AS199218,
13335,United States,"Cloudflare, Inc.",Hosting,https://ipinfo.io/AS13335,
213495,United Kingdom,SERVITRO LTD,Hosting,https://ipinfo.io/AS213495,
136170,Indonesia,PT. EXABYTES NETWORK INDONESIA,Hosting,https://ipinfo.io/AS136170,
30633,United States,"Leaseweb USA, Inc",Hosting,https://ipinfo.io/AS30633,
24940,Germany,Hetzner Online GmbH,Hosting,https://ipinfo.io/AS24940,
26383,United States,Baxet Group Inc.,Hosting,https://ipinfo.io/AS26383,
46562,United States,Performive LLC,Hosting,https://ipinfo.io/AS46562,
25780,United States,"HugeServer Networks, LLC",Hosting,https://ipinfo.io/AS25780,
209103,Switzerland,Proton AG,ISP,https://ipinfo.io/AS209103,
58087,Germany,Florian Kolb,Hosting,https://ipinfo.io/AS58087,
48090,United Kingdom,TECHOFF SRV LIMITED,Hosting,https://ipinfo.io/AS58087,
34305,Netherlands,Base IP B.V.,Hosting,https://ipinfo.io/AS34305,
205467,Netherlands,Base IP B.V.,Hosting,https://ipinfo.io/AS205467,https://ipinfo.io/AS205467
34343,Netherlands,BIP Backbone ASN,ISP,https://ipinfo.io/AS34343,
